"region","municipality","population_total","healthcare_staff_per_1000","education_graduates_per_1000","child_dependency_ratio","old_age_dependency_ratio","disability_count","average_monthly_wage","disability_rate_per_1000","z_healthcare_staff_per_1000","z_education_graduates_per_1000","z_child_dependency_ratio","z_old_age_dependency_ratio","z_disability_rate_per_1000","z_average_monthly_wage","svi_composite"
"kakheti","Gurjaani",49485,6.64023985351229,10.5036521319194,24.8117070935594,30.7969873134969,1484,1546.44596361339,29.9888855208649,0.214593195020202,-0.0763795267081172,-0.626256130393315,0.198596235251958,0.0131956055303707,-0.631363304194985,-0.151268987582314
"samegrelo","Mestia",9173,15.8816490808224,13.2709670401392,34.2523119874367,28.3022160181469,235,1191.38305631656,25.6186634688761,-1.77451965701071,-1.2039311528987,2.10843537983372,0.0166860424767544,-0.254390021235618,0.113918713885763,-0.16563344915813
"adjara","Kobuleti",67346,5.18314517974882,12.6846772347699,27.9067965678204,16.9613976641035,2206,1353.84864976113,32.756214177531,0.528216980193962,-0.965045429593566,0.270308761772022,-0.810247655557138,0.182637195511931,-0.227098843461705,-0.170204831855749
"imereti","Terjola",27922,9.03022469323796,9.1718752766613,23.6997738737172,30.9488606714211,833,1489.07770067617,29.8331065109949,-0.299825054829459,0.466257364528553,-0.948353535212577,0.209670321228856,0.003657366169266,-0.510946516361118,-0.179923342412747
"imereti","Sachkhere",31742,13.0419182228046,12.2618991903402,28.6506084347391,28.7714619103184,1079,1220.0830692982,33.9928170877701,-1.16329846692432,-0.79278311492227,0.48577122636345,0.050901848495922,0.258353523163156,0.053676984450425,-0.184562999895605
"qvemo-qartli","Gardabani",77713,3.71388917446284,11.0902642130153,31.53890951445,17.4674237460872,1070,1881.46277024014,13.7686101424472,0.844458359744752,-0.315396562325579,1.32243503450434,-0.773349963855093,-0.979960463387362,-1.33456827605373,-0.206063645228778
"samegrelo","Senaki",28919,10.7963129572731,13.0031064862754,24.895051030233,27.8182168303485,922,762.064534245262,31.8821536014385,-0.679956350544819,-1.09479048292857,-0.6021136142503,-0.0186055234152969,0.129119080344601,1.01506430795722,-0.208547097139527
"samegrelo","Tsalenjikha",20222,5.99181605611847,12.1297739672642,25.0628324273774,27.8274592319832,632,1490.31906074771,31.2530906933043,0.354159366935537,-0.738948255110095,-0.553511817278331,-0.0179315990895708,0.0906020003093399,-0.513552148547047,-0.229863742130028
"shida-qartli","Kaspi",39845,4.87219848587062,8.81992854108887,25.0173876756155,27.1978021978022,845,1935.35283035926,21.2071778140294,0.595144875050282,0.609659227774552,-0.566675950109288,-0.0638440371088853,-0.524502189422612,-1.4476842674307,-0.232983723541109
"javaxeti","Akhaltsikhe",39479,8.47532892650063,11.6726087011685,29.5180957575285,22.0070902645214,583,1280.39733833467,14.7673446642519,-0.180389774559327,-0.552674753061983,0.737059172795816,-0.442333003285312,-0.918808650090299,-0.0729235114695466,-0.238345086611775
"samegrelo","Zugdidi",91597,10.5900971210545,11.0453520638224,25.5792570798088,23.6682038079611,1757,835.682518296318,19.1818509339826,-0.635570634034988,-0.297096958363716,-0.403917365593155,-0.321210283350291,-0.648511531775523,0.860539127790375,-0.240961274221216
"javaxeti","Borjomi",24498,7.66986924504824,11.1376292760541,26.9625603864734,25.2958937198068,514,1474.23025208678,20.9813045962936,-0.00702333609072097,-0.334695614159311,-0.00321128252656595,-0.202524700349562,-0.538332247899841,-0.479781513707659,-0.260928115788943
"qvemo-qartli","Bolnisi",57410,3.53279641823413,9.21675105153161,29.865677513629,20.7272522902265,824,2473.90779575025,14.3529001916043,0.883436606456274,0.447972581404925,0.837744339498861,-0.535654412369566,-0.944184794060522,-2.57811868681222,-0.314800727647041
"imereti","Zestaponi",52452,7.59085302210836,10.9498054843913,27.5910176267003,27.0195583934752,1345,2000.45610594414,25.6424921833295,0.00998404673398798,-0.258166188072818,0.178836022567595,-0.0768409658720752,-0.252931005786013,-1.5843369552064,-0.330575840939288
"imereti","Samtredia",38368,5.17347884278802,11.0161639040461,24.7091932457786,27.1419637273296,602,1658.96900995111,15.6901584653878,0.530297554120282,-0.285204145975975,-0.65595165863098,-0.067915587453752,-0.862305409195963,-0.867550755296606,-0.368105000405499
"samegrelo","poti",41175,5.63482907280345,10.2252717226304,27.0234207661786,18.5750904175006,389,1795.26197452799,9.4474802671524,0.430996933485584,0.0370474932024474,0.0144183466719644,-0.692582697491621,-1.24454021065485,-1.15363159788135,-0.43471528877797
"mcxeta-mtianeti","Kazbegi",3746,11.1955217912835,10.3958416633347,24.4237767893247,29.0335624747271,54,1365.02572584451,14.4153764014949,-0.765881711368328,-0.0324517941569551,-0.738629195623316,0.0700133254825853,-0.940359419609823,-0.250559682790381,-0.442978079677703
"javaxeti","Ninotsminda",13572,6.73878347224685,22.4862564284448,32.5230562511452,17.058572039333,354,517.525001377978,26.0831122900088,0.193382752576933,-4.95873134016215,1.60751610249855,-0.803162032372454,-0.225952146128796,1.52835621429396,-0.44309840821566
"kakheti","Telavi",51920,12.1387615778472,11.4100523520049,26.7192755498059,24.2509702457956,958,1385.87627592923,18.4514637904468,-0.968903819344699,-0.445695298867323,-0.0736844126787455,-0.278716947288989,-0.693232623578143,-0.294325279606843,-0.45909306356079
"qvemo-qartli","rustavi",128249,11.1744967756839,11.5112195236548,29.5178120808421,12.6867028894901,1563,1557.55774647817,12.1872295300548,-0.761356305370757,-0.486916198076183,0.736976999223799,-1.12194378255462,-1.07678728758272,-0.654687092142835,-0.560785611083885
"samegrelo","Khobi",21500,5.04702008950575,10.0940401790115,21.5,21.5,554,2073.03502894947,25.7674418604651,0.557516425746723,0.0905182203594747,-1.58556937090283,-0.479308291539371,-0.245280424814888,-1.73668113167742,-0.566467428804718
"mcxeta-mtianeti","Mtskheta",50742,7.38014622896119,9.71588399823348,26.1569469165532,19.5110459637734,995,2364.23738255618,19.6090024043199,0.0553363928913993,0.244599208874282,-0.236576023608367,-0.624336019261495,-0.622357347261669,-2.34791895265442,-0.588542123503378
"adjara","batumi",186949,19.9929754410612,11.8769081133656,28.4574319674113,13.6892914938338,2644,1768.19529589458,14.142894586224,-2.65943795257513,-0.635917225311282,0.429813154702217,-1.04883844956063,-0.957043289778025,-1.09681826013163,-0.994707003775747
"imereti","kutaisi",123722,25.0209577595854,17.4561090365046,30.4531758833734,19.3221129946942,2247,1156.9065985833,18.1616850681366,-3.74165647613159,-2.90918112276061,1.00792695195565,-0.638112365370197,-0.710975571215675,0.186285281802809,-1.1342855502866
"tbilisi","Tbilisi",1282574,19.6473967966629,11.5265042698044,27.7446084366921,17.3896652158262,13143,2348.73934675943,10.2473619455875,-2.58505590693119,-0.493144018526161,0.22332718482414,-0.779019850011018,-1.19556401729065,-2.31538835833572,-1.19080749437843
